,Indicator,Group,Subgroup,Phase,Time Period,Value,Spread
0,Took Prescription Medication,National Estimate,United States,2,13,19.4,0.40000000000000036
1,Took Prescription Medication,By Age,18 - 29 years,2,13,18.7,1.5500000000000007
2,Took Prescription Medication,By Age,30 - 39 years,2,13,18.3,0.9499999999999993
3,Took Prescription Medication,By Age,40 - 49 years,2,13,20.4,0.9000000000000004
4,Took Prescription Medication,By Age,50 - 59 years,2,13,21.2,1.0
5,Took Prescription Medication,By Age,60 - 69 years,2,13,19.7,1.0
6,Took Prescription Medication,By Age,70 - 79 years,2,13,18.4,1.4499999999999993
7,Took Prescription Medication,By Age,80 years and above,2,13,13.8,3.0
8,Took Prescription Medication,By Sex,Male,2,13,13.7,0.6500000000000004
9,Took Prescription Medication,By Sex,Female,2,13,24.6,0.5999999999999996
10,Took Prescription Medication,By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,11.6,0.4500000000000002
11,Took Prescription Medication,By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,33.0,0.8999999999999986
12,Took Prescription Medication,By Race/Hispanic ethnicity,Hispanic or Latino,2,13,13.8,1.2000000000000002
13,Took Prescription Medication,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2,13,22.5,0.4499999999999993
14,Took Prescription Medication,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2,13,12.6,1.25
15,Took Prescription Medication,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2,13,8.1,1.25
16,Took Prescription Medication,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2,13,22.1,2.9499999999999993
17,Took Prescription Medication,By Education,Less than a high school diploma,2,13,17.4,2.6000000000000005
18,Took Prescription Medication,By Education,High school diploma or GED,2,13,18.1,0.9500000000000011
19,Took Prescription Medication,By Education,Some college/Associate's degree,2,13,21.0,0.8000000000000007
20,Took Prescription Medication,By Education,Bachelor's degree or higher,2,13,19.4,0.4499999999999993
21,Took Prescription Medication,By State,Alabama,2,13,22.3,2.75
22,Took Prescription Medication,By State,Alaska,2,13,16.7,2.6500000000000004
23,Took Prescription Medication,By State,Arizona,2,13,18.3,2.299999999999999
24,Took Prescription Medication,By State,Arkansas,2,13,24.1,3.4499999999999993
25,Took Prescription Medication,By State,California,2,13,15.8,1.4999999999999991
26,Took Prescription Medication,By State,Colorado,2,13,17.0,2.000000000000001
27,Took Prescription Medication,By State,Connecticut,2,13,18.8,3.3000000000000007
28,Took Prescription Medication,By State,Delaware,2,13,19.8,3.6000000000000014
29,Took Prescription Medication,By State,District of Columbia,2,13,18.0,4.5
30,Took Prescription Medication,By State,Florida,2,13,19.0,2.6500000000000004
31,Took Prescription Medication,By State,Georgia,2,13,21.1,2.6999999999999993
32,Took Prescription Medication,By State,Hawaii,2,13,12.2,2.5999999999999996
33,Took Prescription Medication,By State,Idaho,2,13,22.5,2.799999999999999
34,Took Prescription Medication,By State,Illinois,2,13,17.2,2.3500000000000005
35,Took Prescription Medication,By State,Indiana,2,13,23.5,2.8499999999999996
36,Took Prescription Medication,By State,Iowa,2,13,23.1,3.3000000000000007
37,Took Prescription Medication,By State,Kansas,2,13,21.2,3.4000000000000004
38,Took Prescription Medication,By State,Kentucky,2,13,26.8,3.9499999999999993
39,Took Prescription Medication,By State,Louisiana,2,13,23.6,3.1499999999999986
40,Took Prescription Medication,By State,Maine,2,13,23.1,3.8500000000000014
